epoch,train_loss,val_loss,val_roc_auc_score
1,0.8587823715060949,0.7111496329307556,0.6388153924708722
2,0.686945172958076,0.6246182322502136,0.7105324235250429
3,0.5880304421298206,0.6177365183830261,0.7851390242770273
4,0.5249223480932415,0.510288417339325,0.8115339089263334
5,0.5249744686298072,0.49595046043395996,0.8176727939469898
6,0.49866515258327127,0.5652943849563599,0.8356774822448128
7,0.4759372416883707,0.49039560556411743,0.8408589797149886
8,0.47181897377595305,0.4083215296268463,0.8414450169428584
9,0.4709038487635553,0.5651209354400635,0.8477057512881214
10,0.4668368212878704,0.5637515187263489,0.8494812700181033
11,0.4533760095946491,0.47701188921928406,0.8611207816924291
12,0.49459257582202554,0.43207821249961853,0.8429768370236271
13,0.489197660703212,0.4837605655193329,0.8255523836048834
14,0.4781784522347152,0.45123958587646484,0.8474156338485819
15,0.4685663762502372,0.46125656366348267,0.8423733927493849
16,0.49595715245231986,0.5902560949325562,0.8291411363319872
17,0.49339868873357773,0.513217031955719,0.829727173559857
18,0.4818060426041484,0.5086829662322998,0.8314243605811633
19,0.46964156068861485,0.5120242238044739,0.8404731235204012
20,0.4600012809969485,0.5666655898094177,0.8421587058441257
21,0.4495738185942173,0.5740305185317993,0.8479465487629392
