epoch,train_loss,val_loss,val_roc_auc_score
1,0.560769198905854,0.5448934435844421,0.8230667806631712
2,0.48618405400997117,0.4614737927913666,0.8380700254431958
3,0.46100229521592456,0.493032842874527,0.8441733021559762
4,0.44678758040425326,0.4348132908344269,0.8425148590323346
5,0.4305634743992298,0.4429916739463806,0.8419483101391649
6,0.41677775313811644,0.5076497197151184,0.8444514261580773
7,0.4004410992095631,0.49648427963256836,0.8485511799668312
8,0.39090687241996563,0.5678239464759827,0.8397902739006377
9,0.37272259983278455,0.5309282541275024,0.8431998681486212
10,0.35277374779125525,0.44675707817077637,0.8365248920981881
11,0.3310614870048113,0.4786534905433655,0.8329041296263868
12,0.3127725338858981,0.4912600517272949,0.8366227505433719
13,0.2904666642702761,0.4303798973560333,0.8302877038288404
14,0.2682150586522997,0.44834619760513306,0.8331874040729715
15,0.24694577752361221,0.5511229038238525,0.8273158973619422
16,0.2292148338571664,0.5470523238182068,0.8316474211724472
17,0.214864687558027,0.5733131766319275,0.8127658916964534
